0x80654aae VerifierIoAllocateIrp1
0x804faa46 KeInitializeApc
0x80550044 CcFastMdlReadNoWait
0x805f4a38 WmiFlushTrace
0x805b4642 ObpReferenceDeviceMap
0x80589ed0 PipForAllDeviceNodesCallback
0x80559fc0 PopShutdownEvent
0x804f6ede KeAreApcsDisabled
0x8065536e ViDeadlockSimilarNodes
0x80604ee6 ExpFreeHandleTableEntry
0x8054c444 Kd_STORPORT_Mask
0x804f1440 IopWriteDriverList
0x805df474 RtlGetSetBootStatusData
0x804f2124 IopWriteToDisk
0x8055b0a0 ExpThreadSetManagerEvent
0x8060371a ExpWin32OkayToCloseProcedure
0x8054c3a4 Kd_BURNENG_Mask
0x80621d1e CmpPostNotify
0x806728b0 GenericMessageGuid
0x8056286c FsRtlBalanceReads
0x80672500 szDaylightName
0x8055b560 PoolVector
0x80639fb2 DbgkCreateThread
0x806496a0 PopDumpSystemIrp
0x8051f2b0 MiDecrementReferenceCount
0x80542538 RtlLargeIntegerShiftLeft
0x80524192 PoSetSystemState
0x805597e4 ObpNumTracedObjects
0x80632e42 CmpFileRead
0x805fc55c WmipUpdateDS
0x804feec8 ZwSetEventBoostPriority
0x80589ea2 PipForAllChildDeviceNodes
0x806119db SdbpFindNextIndexedWildCardTag
0x806043ee ExSweepHandleTable
0x805f3cc6 VdmQueryDirectoryFile
0x805c57f4 PsAssignImpersonationToken
0x8064f5d2 VerifierKeRaiseIrqlToDpcLevel
0x8058b7fa IopFreeReqAlternative
0x8055002c CcMapDataNoWaitMiss
0x804d9008 _real
0x8058a438 IopRearrangeAssignTable
0x8065f306 KdpCheckLowMemory
0x805260f6 PopPolicyWorkerThread
0x806a2780 CcPfParametersInitialize
0x80660706 KdpSysReadMsr
0x8069f354 KeNumaInitialize
0x8054a06c KeI386EFlagsOrMaskV86
0x805b09aa ObpRemoveObjectRoutine
0x80513f5c MiMakeSystemAddressValidPfnSystemWs
0x80537bc8 wcschr
0x80537d5e wcsrchr
0x8052fb16 ViFreeToContiguousMemory
0x805db584 RtlpGenerateInheritAcl
0x8050a68a MmIsFileObjectAPagingFile
0x8065a62a IovpInternalCompletionTrap
0x805a9d66 MiInitializeSessionPool
0x80672870 MS_SYSTEM_INFORMATION_GUID
0x805a5504 MiAllocateVad
0x805e3a3c SeQueryAuthenticationIdToken
0x80550fe0 ___PchSym_
0x80529e66 ExpDummyAllocate
0x80610262 SdbpDoesFileExists_U
0x804eb168 FsRtlIsNtstatusExpected
0x804fb95c KeSetSystemAffinityThread
0x8058ab86 IopSetLegacyDeviceInstance
0x8054c744 MiFillModuloPages
0x804d7ce4 GUID_DEVCLASS_1394DEBUG
0x80673e9c CmpCentaurID
0x804f7770 KeSetProcess
0x8054a504 MiEstimationShift
0x8055a280 PspLoadImageNotifyRoutine
0x805e1e0c NtAdjustPrivilegesToken
0x80538508 _rttospop
0x80551268 CmBrand
0x80558464 MmSystemLockOwner
0x80670c80 CmCheckRegistryDebug
0x805522a0 KiSMTProcessorsPresent
0x805218d6 MiDownShareCountFlushEntireTb
0x8055133c InbvOldIrql
0x8055d9d8 PspJobMapping
0x8052c7dc RtlLargeIntegerDivide
0x804d7e64 GUID_DEVCLASS_MEDIA
0x8066f8b0 InitNlsSectionPointer
0x80635ece HvpFindFreeCellInBin
0x80670af8 CmRegistryMachineHardwareOwnerMapName
0x8054b4ac CmSelfHeal
0x8060acae ExRaiseHardError
0x805b654e ObpAllocateObjectNameBuffer
0x8054b5a4 CcTotalDirtyPages
0x8064452a MiInsertPhysicalViewAndRefControlArea
0x804fe090 ZwCreateIoCompletion
0x8069817e MiInitMachineDependent
0x8054ad38 IopVpbSpinLock
0x805d9196 RtlLengthSid
0x8054ffb9 CmpTrackHiveClose
0x80552ce0 KeI386ForceNpxEmulation
0x806560bc VfDeadlockAcquireResource
0x8053850a _rtnospop
0x805f55a2 IoWMIQueryAllData
0x80657e6e VfPacketFindAndLock
0x8052d6f2 RtlUnwind
0x8055d858 MiKernelVerifierThunks
0x805372d0 rand
0x80670c40 CmpMiniNTBoot
0x805d909e RtlEqualPrefixSid
0x8064be60 XpressEncodeCreate
